Frame,Left Knee Angle,Right Knee Angle,Waist X,Waist Y,Waist Z
0,179.17523318081885,179.38025024267276,0.5074123442173004,0.6347421705722809,-7.702037692070007e-06
1,179.22045154820003,178.75691736818166,0.5071523636579514,0.6297289133071899,-5.405396223068237e-06
2,179.11283409883796,179.26129007664187,0.506323516368866,0.6236870288848877,8.769566193223e-06
3,179.20898829963022,179.20033971288592,0.5056408643722534,0.6215915083885193,3.066577482968569e-05
4,179.66795839178502,178.89924203092775,0.5054380595684052,0.6218642890453339,3.872020170092583e-05
5,179.6742501986229,178.5551585620149,0.5047273337841034,0.6225760579109192,3.0194176360964775e-05
6,179.6939895316157,178.27542435508477,0.5047661662101746,0.6203453540802002,2.7200672775506973e-05
7,179.924180974256,178.2272916503106,0.5051624327898026,0.6151790022850037,3.064499469473958e-05
8,179.89428311853695,177.96607904182116,0.5051806569099426,0.616002768278122,2.042669802904129e-05
9,179.89871502484687,177.26846792401602,0.5051859766244888,0.6178334057331085,3.187917172908783e-06
10,179.98854869708748,176.72273230906774,0.5053644776344299,0.6274235248565674,-1.0566320270299911e-05
11,179.9779289119546,176.79743651200525,0.505368784070015,0.6270980834960938,-6.938353180885315e-06
12,179.7848953546024,177.95023429931604,0.5053771138191223,0.6204015910625458,7.01146200299263e-06
13,179.8519638198687,177.76909662748957,0.5058582723140717,0.6143341064453125,2.584489993751049e-05
14,179.67711219015587,177.48083740584107,0.506069153547287,0.6149362623691559,3.005238249897957e-05
15,179.24407302952062,177.44575448978773,0.5060410648584366,0.6180562078952789,3.143865615129471e-05
16,178.74548544473708,177.57011675543518,0.5064363777637482,0.615315169095993,2.993724774569273e-05
17,178.63116433265122,177.28392358838965,0.5069760680198669,0.614334911108017,3.740517422556877e-05
18,178.68729119081,176.62601508403662,0.5072934180498123,0.6174194514751434,8.329283446073532e-06
19,178.7711911161126,175.48901887403608,0.5076690912246704,0.6219912171363831,-4.286877810955048e-06
20,178.96575291161565,175.1234163069848,0.5078388899564743,0.629918783903122,-1.9455328583717346e-05
21,179.03698458056343,175.2902293336748,0.5078474879264832,0.6288416981697083,-8.419156074523926e-06
